№,действие,состояние_row,целевой_путь,результат,row_после,дети,старый_FS_путь,бины_Premiere,правила,заметки
11,Relink,Healthy child,Внутри другого tracked root coverage,MERGE dialog,Row уничтожается при подтверждении merge,Translocate как dead-weight Missing под target,Re-detected walker'ом (был под R) → fresh row создаётся → переимпорт,"Transfer в manifest target. Опустошённые бины source → удаляются по правилу 16. Как в case 7 по логике.","13, 14, 16, 17, 22, 24, 25, 26, 27","Старая позиция re-tracked потому что всё ещё под R coverage. Already tracked = subset этого случая."
12,Relink,Healthy child,Является parent существующего root,RESTRUCTURE (T4.1),как в case 8 — row становится новый ROOT + existing root re-parents,как в case 8,как в case 8 (re-detected если новый путь содержит старый),как в case 8,"15, 19, 27","Та же логика что case 8 для root, но source был child."
13,Relink,Missing root,Тот же путь что текущий,Manual retry,"Plugin re-probes path. Если existуeт → row → Healthy + дети re-evaluated. Если still missing → row stays Missing.",Дети re-evaluated: matching → re-link и re-import; no match → stay Missing,—,Бины остаются легитимными (manifest preserved во время Missing). После retry если path работает — бины снова mirror healthy structure.,—,"Не отказ. Manual retry mechanism — пользователь может try same path если не уверен что walker re-probe сработал."
14,Relink,Missing root,Свободный,MOVE → row становится ROOT в новом пути,Поле path у row обновляется + статус выходит из Missing если новый путь существует,Translocate как dead-weight Missing если не матчнулись | сливаются если match есть,Уже отсутствует (не на FS),"Бины остаются легитимными. Auto-rebase clips. Clips без match остаются с Missing-style ссылками (path не существует в новом location).","13, 14, 16, 17, 22, 25, 27","Самое частое восстановление Missing через Relink."
15,Relink,Missing root,Внутри другого tracked root coverage,MERGE dialog,Row уничтожается при подтверждении merge,Translocate Missing children + auto-dedup пытается relink через changeMediaPath(),Уже отсутствует,"Transfer в manifest target. Auto-dedup мигрирует клипы → бины target. Пустые бины source после миграции → cleanup по правилу 16.","11, 13, 14, 16, 17, 21, 22, 24, 25, 26, 27","Частый merge case — пользователь переместил папку через OS, фиксит через merge."
16,Relink,Missing root,Является parent существующего root,RESTRUCTURE (T4.1),как в case 8,как в case 8,как в case 8,как в case 8,"15, 19, 27","Edge — Missing root который оказывается содержащим существующий root после relink."
17,Relink,Missing child,Тот же путь что текущий,Manual retry,как в case 13,как в case 13,—,как в case 13,—,"Manual retry. Та же логика что Missing root."
18,Relink,Missing child,Свободный,MOVE → row становится ROOT,как в case 14,как в case 14,как в case 14,как в case 14,—,"Та же логика что Missing root → MOVE (relink promotes в root)."
19,Relink,Missing child,Внутри другого tracked root coverage,MERGE dialog,как в case 15,как в case 15,как в case 15,как в case 15,—,"Та же merge логика независимо от того root или child source."
20,Relink,Missing child,Является parent существующего root,RESTRUCTURE (T4.1),как в case 8,как в case 8,как в case 8,как в case 8,"15, 19, 27","T4.1."
21,Relink,Drifted row,Тот же путь что текущий,no-op (REFUSE),Без изменений,—,—,—,—,"No-op. Drift фиксится Magnet'ом, не relink'ом."
22,Relink,Drifted row,Свободный,MOVE → ROOT + drift re-evaluated,Поле path у row обновляется. Drift статус re-evaluated в новом контексте,Translocate dead-weight,Per FS-SoT,"Бины переезжают с row, restructure. Drift может clear если новый путь structure совпадает с manifest expectations.","13, 14, 16, 17, 22, 24, 25, 26, 27","Drift статус может clear если больше не applicable к новому пути. Magnet/merge типичный recovery — relink реже для drifted."
23,Relink,Drifted row,Внутри другого tracked root coverage,MERGE dialog,Row уничтожается при подтверждении merge. Drift может auto-resolve через merge dedup,Auto-dedup при merge может resolve drift (клипы relinked через changeMediaPath()),По FS-SoT,"Transfer в manifest target. Cleanup по правилу 16.","11, 13, 14, 16, 17, 21, 22, 24, 25, 26, 27","Merge может clear drift если файлы совпадают с target."
24,Relink,Drifted row,Является parent существующего root,RESTRUCTURE (T4.1),Row реорганизует структуру + drift re-evaluated,как в case 8,как в case 8,как в case 8,"15, 19, 27","T4.1."
25,Relink,Disabled (manual),Тот же путь что текущий,no-op (REFUSE),Без изменений,—,—,—,—,"No-op. manually_disabled flag preserved независимо от relink."
26,Relink,Disabled (manual),Свободный,MOVE → ROOT + manually_disabled flag preserved,Поле path у row обновляется + manually_disabled flag сохраняется,Translocate dead-weight,Per FS-SoT,"Бины переезжают с row, restructure как в case 6.","8, 13, 14, 16, 17, 22, 25, 27","manually_disabled persists через relink (intent пользователя сохраняется)."
27,Relink,Disabled (manual),Внутри другого tracked root coverage,MERGE dialog (manual flag handling по выбору dialog),manually_disabled — по dialog: receiving keeps its / incoming brings its,Translocate по merge логике,Per FS-SoT,"Transfer в manifest target. Cleanup по правилу 16.","8, 13, 14, 16, 17, 22, 24, 25, 26, 27","Пользователь явно выбирает в dialog какой стороны settings оставить — включая manually_disabled."
28,Relink,Disabled (manual),Является parent существующего root,RESTRUCTURE (T4.1),как в case 8,как в case 8,как в case 8,как в case 8,"15, 19, 27","T4.1."
29,Relink,Busy row,Любой target,REFUSE-OR-WAIT,Без изменений (или queued),—,—,—,"6 (Busy = race-prevention)","Race-prevention. Plugin отказывает relink либо queues до окончания busy. MVP: отказ с toast «row занят»."
